nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
UEFA Champions League 2006-2007,X360,Sports,Electronic Arts,0.05,20-Mar-07,72.0,27.0,7.9,8.0,EA Canada
Grand Theft Auto IV,X360,Action,Take-Two Interactive,10.63,29-Apr-08,98.0,86.0,7.9,2565.0,Rockstar North
Alan Wake,X360,Action,Microsoft Game Studios,1.25,18-May-10,83.0,100.0,8,939.0,Remedy Entertainment
Donkey Kong Country Returns,3DS,Platform,Nintendo,1.24,,,,,,
Starry ? Sky: After Summer,PSP,Role-Playing,Asgard,0.02,,,,,,
MySims SkyHeroes,PS3,Action,Electronic Arts,0.08,28-Sep-10,62.0,16.0,tbd,,Electronic Arts
Major League Baseball 2K8,X360,Sports,Bethesda Softworks,0.59,3-Mar-08,70.0,28.0,5.9,34.0,Kush Games
Saints Row: The Third,X360,Action,THQ,2.62,15-Nov-11,84.0,70.0,7.5,399.0,Volition Inc.
Bleach: Heat the Soul 3,PSP,Fighting,Sony Computer Entertainment,0.07,,,,,,
Fast Food Panic,Wii,Simulation,Nobilis,0.06,27-Jan-10,57.0,6.0,tbd,,Dorasu
Clive Barker's Jericho,PS3,Shooter,Codemasters,0.19,23-Oct-07,60.0,34.0,7.2,43.0,"Mercury Steam, Alchemic Productions"
Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,505 Games,0.17,12-Nov-10,38.0,14.0,2.6,5.0,Takara Tomy
Mafia II,X360,Action,Take-Two Interactive,1.38,24-Aug-10,74.0,79.0,7.6,323.0,2K Czech
Guitar Hero: Warriors of Rock,X360,Misc,Activision,0.81,28-Sep-10,72.0,65.0,5.9,41.0,Neversoft Entertainment
NHL 2K9,PS3,Sports,Take-Two Interactive,0.12,8-Sep-08,70.0,21.0,tbd,,Visual Concepts
Hammerin' Hero,PSP,Action,Irem Software Engineering,0.04,7-Apr-09,73.0,19.0,7.6,5.0,Irem
Virtua Tennis 2009,PS3,Sports,Sega,0.35,9-Jun-09,70.0,34.0,6.3,19.0,Sumo Digital
Luxor: Pharaoh's Challenge,Wii,Puzzle,Funsta,0.03,15-Jan-08,,,tbd,,MumboJumbo
Hole in the Wall: Deluxe Edition,X360,Misc,Ubisoft,0.09,20-Nov-11,,,tbd,,Ubisoft
NBA 2K11,PS3,Sports,Take-Two Interactive,1.72,5-Oct-10,89.0,46.0,7.4,85.0,Visual Concepts
Virtua Tennis 4,X360,Sports,Sega,0.18,10-May-11,70.0,37.0,6.2,9.0,Sega
Bunmei Kaika: Aoiza Ibunroku Saien,PSP,Action,FuRyu,0.01,,,,,,
We Cheer 2,Wii,Simulation,Namco Bandai Games,0.25,3-Nov-09,64.0,7.0,tbd,,"Machatin, Inc."
Football Manager 2012,PSP,Sports,Sega,0.11,,,,,,
Warriors of the Lost Empire (JP sales),PSP,Role-Playing,Mercury Games,0.02,,,,,,
No More Heroes: Heroes' Paradise,PS3,Action,Konami Digital Entertainment,0.16,16-Aug-11,72.0,38.0,7.4,30.0,FeelPlus
AKB1/149: Love Election,PSV,Adventure,Namco Bandai Games,0.07,,,,,,
Resident Evil: Revelations,PS3,Action,Capcom,0.5,21-May-13,74.0,30.0,7.2,121.0,Capcom
Gold's Gym: Dance Workout,Wii,Sports,Ubisoft,0.79,17-Aug-10,,,tbd,,
Saint Seiya: Brave Soldiers,PS3,Fighting,Namco Bandai Games,0.05,26-Nov-13,55.0,32.0,7.7,29.0,Dimps Corporation
Koi to Senkyo to Chocolate Portable,PSP,Adventure,Kadokawa Shoten,0.05,,,,,,
School Wars,PSP,Adventure,Quinrose,0.01,,,,,,
Hexyz Force,PSP,Role-Playing,Atlus,0.14,2-Jun-10,68.0,13.0,7.8,16.0,Sting
Cabela's Trophy Bucks,Wii,Sports,Activision Value,0.06,3-Jun-08,,,6,5.0,FUN Labs
Toushin Toshi,3DS,Role-Playing,imageepoch Inc.,0.02,,,,,,
Bakugan Battle Brawlers: Defenders of the Core,PSP,Action,Activision,0.12,26-Oct-10,,,tbd,,Now Production
Hannah Montana: Rock Out the Show,PSP,Misc,Disney Interactive Studios,0.15,4-Aug-09,,,tbd,,Page 44 Studios
Hotel for Dogs,Wii,Simulation,505 Games,0.05,6-Jan-09,,,tbd,,505 Games
LEGO Star Wars III: The Clone Wars,PS3,Action,LucasArts,0.94,22-Mar-11,76.0,36.0,7.2,19.0,Traveller's Tales
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,Role-Playing,Nippon Ichi Software,0.11,26-Oct-10,81.0,19.0,7.1,25.0,Nippon Ichi Software
WWE All Stars,X360,Fighting,THQ,0.31,29-Mar-11,75.0,64.0,7.2,38.0,THQ
Death Jr.,PSP,Platform,Konami Digital Entertainment,0.19,16-Aug-05,61.0,40.0,7.2,20.0,Backbone Entertainment
Naruto: Ultimate Ninja Storm,PS3,Fighting,Namco Bandai Games,1.02,4-Nov-08,75.0,32.0,8.6,64.0,CyberConnect2
Inazuma Eleven Strikers 2012 Xtreme,Wii,Sports,Level 5,0.19,,,,,,
Little Busters! Converted Edition,PSV,Action,Prototype,0.03,,,,,,
Wii de Asobu Chibi-Robo!,Wii,Adventure,Nintendo,0.05,,,,,,
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,Adventure,5pb,0.01,,,,,,
Karaoke Revolution,X360,Misc,Konami Digital Entertainment,0.11,24-Nov-09,62.0,5.0,tbd,,Blitz Games Studios
Ghostbusters: The Video Game,Wii,Action,Atari,0.84,16-Jun-09,76.0,29.0,8.3,23.0,Red Fly Studio
Pok̩Park Wii: Pikachu's Adventure,Wii,Adventure,Nintendo,1.13,2-Nov-10,62.0,22.0,7.2,22.0,Creatures Inc.
Yoostar2,PS3,Misc,Unknown,0.07,8-Mar-11,54.0,15.0,tbd,,Blitz Games Studios
G1 Jockey 4 2008,PS3,Sports,Tecmo Koei,0.01,,,,,,
Sly Cooper: Thieves in Time,PS3,Platform,Sony Computer Entertainment Europe,0.39,5-Feb-13,75.0,69.0,8.5,241.0,Sanzaru Games
Naruto Shippuden: Gekitou Ninja Taisen Special,Wii,Fighting,Takara Tomy,0.06,,,,,,
Juiced 2: Hot Import Nights,X360,Racing,THQ,0.61,17-Sep-07,68.0,24.0,7.8,20.0,Juice Games
The Sims 2: Pets,Wii,Simulation,Electronic Arts,0.46,12-Jun-07,65.0,15.0,tbd,,Maxis
Assassin's Creed IV: Black Flag,WiiU,Action,Ubisoft,0.13,29-Oct-13,86.0,5.0,7.4,107.0,Ubisoft
Magna Carta 2,X360,Role-Playing,Banpresto,0.28,13-Oct-09,69.0,49.0,7.1,48.0,"Banpresto, SoftMax"
Steins;Gate,PSP,Adventure,Kadokawa Shoten,0.19,,,,,,
FIFA Soccer,PSP,Sports,Electronic Arts,0.12,25-Apr-05,73.0,23.0,7.7,22.0,EA Canada
Hyperdimension Neptunia,PSV,Role-Playing,Compile Heart,0.05,,,,,,
NBA 2K8,PS3,Sports,Take-Two Interactive,0.52,2-Oct-07,81.0,18.0,6.8,19.0,Visual Concepts
Steins;Gate: Hiyoku Renri no Darling,X360,Adventure,5pb,0.08,,,,,,
The X-Factor,X360,Misc,Deep Silver,0.08,,,,,,
The Adventures of Tintin: The Game,Wii,Action,Ubisoft,0.29,6-Dec-11,,,tbd,,Ubisoft Montpellier
White Album: Tsuzurareru Fuyu no Omoide,PS3,Adventure,Aqua Plus,0.05,,,,,,
Tiger Woods PGA Tour 11,Wii,Sports,Electronic Arts,0.52,8-Jun-10,84.0,29.0,8.2,24.0,EA Sports
The Ultimate Red Ball Challenge,Wii,Misc,Mindscape,0.2,,,,,,
Kamen Rider: Travelers Senki,3DS,Action,Seventh Chord,0.06,,,,,,
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,2.12,6-Nov-07,80.0,24.0,6.8,71.0,Traveller's Tales
Zoo Hospital,Wii,Simulation,Majesco Entertainment,0.16,22-Sep-08,61.0,4.0,tbd,,Torus Games
The Walking Dead: Survival Instinct,X360,Misc,Activision,0.41,19-Mar-13,32.0,30.0,4,384.0,Terminal Reality
Dynasty Warriors 7,PS3,Action,Tecmo Koei,0.83,29-Mar-11,57.0,25.0,7.4,45.0,Omega Force
The Jak and Daxter Collection,PS3,Platform,Sony Computer Entertainment,0.69,,,,,,
Dream C Club,X360,Simulation,D3Publisher,0.07,,,,,,
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,Misc,Daito,0.03,,,,,,
BIT.TRIP SAGA,3DS,Misc,Rising Star Games,0.09,13-Sep-11,75.0,21.0,8,22.0,Gaijin Games
Shiren the Wanderer,Wii,Role-Playing,Sega,0.19,9-Feb-10,71.0,21.0,7.5,4.0,ChunSoft
Need for Speed Rivals,PS4,Racing,Electronic Arts,0.71,15-Nov-13,80.0,53.0,6.6,335.0,Ghost Games
Amnesia,PSP,Adventure,Idea Factory,0.04,,,,,,
Skylanders SWAP Force,WiiU,Platform,Activision,0.23,13-Oct-13,89.0,7.0,5.7,65.0,Vicarious Visions
Kimikare: New Semester,PSP,Action,Idea Factory,0.02,,,,,,
Elminage II: Sousei no Megami to Unmei no Daichi,PSP,Role-Playing,Starfish,0.02,,,,,,
GunPey,PSP,Puzzle,Atari,0.05,17-Nov-06,62.0,24.0,tbd,,Q Entertainment
Cabela's Dangerous Hunts 2011,PS3,Sports,Activision,0.29,19-Oct-10,60.0,4.0,5.3,8.0,Activision
Ikki Tousen: Xross Impact,PSP,Action,Marvelous Interactive,0.06,,,,,,
Rebel Raiders: Operation Nighthawk,Wii,Simulation,Kando Games,0.01,23-Sep-08,40.0,4.0,tbd,,Kando Games
Killzone: Mercenary,PSV,Shooter,Sony Computer Entertainment Europe,0.35,10-Sep-13,78.0,85.0,9.1,293.0,Guerilla Cambridge
MX vs. ATV Reflex,PS3,Racing,THQ,0.83,1-Dec-09,74.0,44.0,7.4,10.0,Rainbow Studios
Command & Conquer 3: Tiberium Wars,X360,Strategy,Electronic Arts,0.39,,,,,,
Worms: A Space Oddity,Wii,Strategy,THQ,0.07,18-Mar-08,64.0,26.0,4.3,11.0,Team 17
TimeShift,X360,Shooter,Vivendi Games,0.39,30-Oct-07,70.0,58.0,7.9,58.0,Saber Interactive
CSI: Fatal Conspiracy,PS3,Adventure,Ubisoft,0.15,26-Oct-10,39.0,5.0,4.5,4.0,Telltale Games
Tales of Rebirth,PSP,Role-Playing,Namco Bandai Games,0.07,,,,,,
Tiger Woods PGA Tour 14,PS3,Sports,Electronic Arts,0.23,26-Mar-13,74.0,28.0,3.8,24.0,EA Tiburon
Wacky Races: Crash & Dash,Wii,Racing,Eidos Interactive,0.29,,,,,,
Ghost Rider,PSP,Action,Take-Two Interactive,0.23,13-Feb-07,49.0,17.0,5.1,11.0,Climax Group
Hot Shots Golf: Out of Bounds,PS3,Sports,Sony Computer Entertainment,1.11,18-Mar-08,81.0,66.0,8.7,29.0,Clap Hanz
F1 2013,X360,Action,Codemasters,0.23,8-Oct-13,79.0,29.0,8.2,17.0,Codemasters
The BIGS 2,PS3,Sports,Take-Two Interactive,0.12,7-Jul-09,80.0,18.0,7.6,16.0,Blue Castle Games
Super Robot Taisen XO,X360,Strategy,Banpresto,0.01,,,,,,
New Love Plus,3DS,Simulation,Konami Digital Entertainment,0.14,,,,,,
Dream C Club Portable,PSP,Simulation,D3Publisher,0.06,,,,,,
Virtua Fighter 5,PS3,Fighting,Sega,1.05,20-Feb-07,85.0,47.0,7.2,61.0,Sega AM2
Gretzky NHL,PSP,Sports,Sony Computer Entertainment,0.1,14-Mar-05,61.0,23.0,7.4,8.0,Page 44 Studios
Brink,X360,Shooter,Bethesda Softworks,0.98,10-May-11,68.0,85.0,5.8,378.0,Splash Damage
Robert Ludlum's The Bourne Conspiracy,PS3,Action,Vivendi Games,0.36,3-Jun-08,70.0,47.0,7.4,25.0,High Moon Studios
Family Guy: Back to the Multiverse,PS3,Action,Activision,0.16,20-Nov-12,40.0,9.0,6.3,20.0,Heavy Iron Studios
Truth or Lies,Wii,Misc,THQ,0.09,14-Sep-10,,,tbd,,THQ
Aikatsu! Cinderella Lesson,3DS,Action,Namco Bandai Games,0.18,,,,,,
Iron Man,Wii,Action,Sega,0.58,2-May-08,44.0,14.0,7,8.0,Artificial Mind and Movement
Rogue Warrior,PS3,Shooter,Bethesda Softworks,0.12,1-Dec-09,27.0,24.0,2.7,54.0,Rebellion
Gun,X360,Shooter,Activision,0.25,16-Nov-05,75.0,53.0,7.2,44.0,Neversoft Entertainment
Star Wars: Lethal Alliance,PSP,Action,Ubisoft,0.12,7-Dec-06,61.0,31.0,8,5.0,Ubisoft Montreal
The Sims 3,X360,Simulation,Electronic Arts,1.36,26-Oct-10,76.0,42.0,7.2,51.0,The Sims Studio
James Bond 007: Legends,WiiU,Shooter,Activision,0.06,,,,,,
Deadly Premonition,PS3,Action,Rising Star Games,0.09,30-Apr-13,70.0,32.0,7.9,66.0,Access Games
Jump Start Pet Rescue,Wii,Misc,Knowledge Adventure,0.43,,,,,,
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,Misc,Idea Factory,0.03,,,,,,
Sega Bass Fishing,Wii,Sports,Sega,0.47,26-Feb-08,59.0,29.0,6,7.0,Cavia Inc.
Sonic Free Riders,X360,Racing,Sega,0.97,4-Nov-10,47.0,52.0,2,49.0,Sega
NASCAR Kart Racing,Wii,Racing,Electronic Arts,0.42,10-Feb-09,70.0,12.0,7.7,7.0,Electronic Arts
Crash of the Titans,PSP,Action,Vivendi Games,0.59,16-Oct-07,,,8.2,13.0,SuperVillain Studios
Dead to Rights: Retribution,X360,Shooter,Namco Bandai Games,0.19,27-Apr-10,61.0,64.0,6.5,23.0,Volatile Games
NHL Slapshot,Wii,Sports,Unknown,0.4,7-Sep-10,76.0,25.0,8.3,4.0,EA Sports
Tales of Vesperia,X360,Role-Playing,Atari,0.68,26-Aug-08,79.0,67.0,8.4,176.0,Bandai Namco Games
Roogoo Twisted Towers,Wii,Puzzle,SouthPeak Games,0.05,30-Jun-09,67.0,13.0,tbd,,SpiderMonk
Last Escort: Club Katze,PSP,Adventure,D3Publisher,0.03,,,,,,
Call of Duty: Roads to Victory,PSP,Shooter,Activision,2.09,13-Mar-07,64.0,45.0,7.6,20.0,Amaze Entertainment
MLB 08: The Show,PS3,Sports,Sony Computer Entertainment,0.69,4-Mar-08,85.0,33.0,9,73.0,SCEA San Diego Studios
Summon Night 4,PSP,Role-Playing,Namco Bandai Games,0.07,,,,,,
G-Force,PSP,Action,Electronic Arts,0.34,21-Jul-09,,,tbd,,Keen Games
MotoGP 10/11,X360,Racing,Capcom,0.05,15-Mar-11,72.0,31.0,6.7,27.0,Monumental Games
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,Action,Namco Bandai Games,0.22,,,,,,
Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,0.99,3-Dec-07,72.0,27.0,8.1,46.0,"Spike, Namco Bandai Games"
S.Y.K Renshouden Portable,PSP,Adventure,Idea Factory,0.04,,,,,,
Virtua Tennis 2009,X360,Sports,Sega,0.32,9-Jun-09,70.0,43.0,5.9,14.0,Sumo Digital
LEGO Star Wars III: The Clone Wars,PSP,Action,LucasArts,0.31,22-Mar-11,63.0,4.0,tbd,,Traveller's Tales
MX vs. ATV Reflex,X360,Racing,THQ,0.63,1-Dec-09,75.0,47.0,6.5,24.0,Rainbow Studios
Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,0.31,7-Feb-06,80.0,35.0,8.7,17.0,Capcom
Tenchu San Portable,PSP,Action,From Software,0.01,,,,,,
Turok,X360,Shooter,Touchstone,0.72,5-Feb-08,69.0,63.0,7.3,106.0,Propaganda Games
Devil Summoner: Soul Hackers,3DS,Role-Playing,Atlus,0.23,16-Apr-13,74.0,46.0,7.5,57.0,Atlus
Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,Action,Takara Tomy,0.02,,,,,,
pro evolution soccer 2011,X360,Sports,Konami Digital Entertainment,0.6,19-Oct-10,79.0,43.0,5.9,28.0,Konami
Young Justice: Legacy,3DS,Adventure,Namco Bandai Games,0.02,19-Nov-13,,,5.7,7.0,Farsight Studios
Batman: Arkham Origins Blackgate,3DS,Action,Warner Bros. Interactive Entertainment,0.11,25-Oct-13,68.0,6.0,6.5,23.0,Armature Studio
High Velocity Bowling,PS3,Sports,Sony Computer Entertainment,0.12,6-Dec-07,66.0,14.0,8.1,22.0,SCEA
Classic Dungeon: Fuyoku no Masoujin,PSP,Role-Playing,Nippon Ichi Software,0.03,,,,,,
Top Spin 4,PS3,Sports,Take-Two Interactive,0.6,15-Mar-11,82.0,37.0,7.5,41.0,2K Czech
The Biggest Loser: Ultimate Workout,X360,Sports,THQ,0.84,4-Nov-10,68.0,11.0,tbd,,Blitz Games Studios
Dragon Ball Z: Battle of Z,PS3,Fighting,Namco Bandai Games,0.1,28-Jan-14,57.0,22.0,5.7,49.0,Artdink
Napoleon Dynamite: The Game,PSP,Puzzle,Crave Entertainment,0.04,23-Oct-07,37.0,14.0,4.6,7.0,7 Studios
MySims Collection,Wii,Misc,Electronic Arts,0.14,9-Nov-10,,,tbd,,Electronic Arts
Generator Rex: Agent of Providence,Wii,Action,Activision,0.06,1-Nov-11,,,tbd,,Activision
Skate 3,X360,Sports,Electronic Arts,1.82,11-May-10,80.0,65.0,7.5,71.0,EA Black Box
Storybook Workshop,Wii,Misc,Konami Digital Entertainment,0.05,1-Dec-09,,,tbd,,Konami
Space Camp,Wii,Action,Activision,0.12,26-May-09,,,7.3,4.0,7 Studios
Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun,PSP,Adventure,Prototype,0.01,,,,,,
Rock Band: Metal Track Pack,Wii,Misc,MTV Games,0.1,25-Sep-09,,,tbd,,Harmonix Music Systems
Sherlock Holmes vs. Jack the Ripper,X360,Adventure,Focus Home Interactive,0.12,23-Apr-10,62.0,24.0,6.8,11.0,Frogwares
DiRT 2,X360,Racing,Codemasters,0.77,8-Sep-09,87.0,65.0,8.1,94.0,Codemasters
Gun Showdown,PSP,Action,Activision,0.06,10-Oct-06,73.0,41.0,7.3,7.0,"Neversoft Entertainment, Rebellion"
Backyard NFL Football '09,Wii,Sports,Atari,0.21,,,,,,
Wii Party U,WiiU,Action,Nintendo,1.06,25-Oct-13,65.0,38.0,6.3,67.0,Nd Cube
Disney Sing It! High School Musical 3: Senior Year,PS3,Misc,Disney Interactive Studios,0.37,,,,,,
Code Lyoko: Quest for Infinity,Wii,Action,Game Factory,0.09,16-Nov-07,58.0,15.0,8.2,6.0,Game Factory
MLB 06: The Show,PSP,Sports,Sony Computer Entertainment,0.35,28-Feb-06,83.0,30.0,8.6,30.0,SCEA San Diego Studios
Mafia II,PS3,Action,Take-Two Interactive,1.33,24-Aug-10,75.0,61.0,7.6,216.0,2K Czech
Death Jr.: Root of Evil,Wii,Platform,Eidos Interactive,0.11,27-May-08,71.0,14.0,8.1,14.0,Backbone Entertainment
Professor Layton vs Ace Attorney,3DS,Adventure,Level 5,0.3,TBA 2014,,,,,Level 5
Balloon Pop,Wii,Puzzle,505 Games,0.05,23-Oct-07,,,tbd,,UFO Interactive
Bob the Builder: Festival of Fun,Wii,Action,Blast! Entertainment Ltd,0.01,,,,,,
Halo Wars,X360,Strategy,Microsoft Game Studios,2.41,3-Mar-09,82.0,92.0,7.1,348.0,Ensemble Studios
WipEout Pulse,PSP,Racing,Sony Computer Entertainment,0.29,12-Feb-08,82.0,40.0,8.8,23.0,Studio Liverpool
Battle vs. Chess,PS3,Misc,TopWare Interactive,0.03,TBA,,,,,TopWare Interactive
Phantasy Star Portable 2,PSP,Role-Playing,Sega,0.85,14-Sep-10,69.0,27.0,8.5,22.0,Alfa System
The Sly Collection,PS3,Platform,Sony Computer Entertainment,0.49,9-Nov-10,85.0,46.0,8.8,130.0,Sanzaru Games
